EAN,Descrição,NCM,CEST,CFOP Venda,CST,% ICMS,% ICMS PDV,% Red. BC ICMS,Nat. Rec. Isenta Pis/Cofins
7897244600393,(1) REFR COLA SAO JOSE 350ML,22021000,03.010.02,5405,60,18,0,0,918
7896052604975,(1) REFR ITUBAINA RETRO SCHIN LATA 350 ML,22021000,03.010.02,5405,60,18,0,0,918
7897244600195,(1) REFR TUBAINA SAO JOSE 2000 ML *,22021000,03.010.01,5405,60,18,0,0,918
7891020000056,00101=LINHA DE COSTURA DRIMA AZUL,54011012,,5102,0,18,18,0,
7892938011479,1147-UTIMIL FITA ISOLANTE ANTICHAMAS 5M,39191020,10.009.00,5405,60,18,0,0,
7892938011578,1157-UTIMIL RESISTENCIA LORENZ SIMILAR 110V 5,85168010,12.002.00,5405,60,18,0,0,
7892938011905,1190-UTIMIL CONECTOR P/CABO COA C/ANEL C/2U,73182900,,5102,0,18,18,0,
7891149100019,12 LATAS DE BRAHMA,22030000,03.021.03,5405,60,22,0,0,918
7892938012063,1206-UTIMIL CONECTOR PORCELANA F OXLUX,85471000,12.009.00,5405,60,18,0,0,
7892938012117,1211-UTIMIL SOQUETE NYLON S/CHAVE BORNE MAC,85366100,12.004.00,5405,60,18,0,0,
7892938012162,1216-UTIMIL PINO MACICO TRI 10AX250V NBR,85366990,12.004.00,5405,60,18,0,0,
7892938012179,1217-UTIMIL PINO 3 SAIDAS 2P CINZA 10A NBR,85366990,12.004.00,5405,60,18,0,0,
7892938012308,1230-UTIMIL PINO PORTA LAMPADA PT(NOVO),85366990,12.004.00,5405,60,18,0,0,
7892938012421,1242-UTIMIL TOMADA EXT.RED.2P+T 10A(ILUMI)NBR,85366910,12.004.00,5405,60,18,0,0,
7892938012520,1252-UTIMIL PLUG CHATO MACHO 10AX250V 2P CIN,85366990,12.004.00,5405,60,18,0,0,
7892938012599,1259-UTIMIL INTERRUPTOR RED EXT.1 TC.SIM-N,85365090,12.004.00,5405,60,18,0,0,
7892938012629,1262-UTIMIL RECEPTACULO PORTA LAMPADA (LATAO),85366100,12.004.00,5405,60,18,0,0,
7892938012704,1270-UTIMIL EXTENSAO TRIPLA CB PL 3M LIMHA FL,85444200,12.007.00,5405,60,12,0,0,
7892938012711,1271-UTIMIL EXTENSAO TRIPLA CB PL 5M LINHA FL,85444200,12.007.00,5405,60,12,0,0,
7891150064652,15-02860 KIT PROMO TRA LA LA HIDRAKIDS,34025000,11.004.00,5405,60,18,0,0,
7892938000152,15-UTIMIL PENTE CABO GROSSO + PINCA DEPILADOR,96151100,20.061.00,5405,60,18,0,0,
7892938000176,17-UTIMIL LIXA DUPLA FACE+01 UN.LIXA P/UNHA,68053090,,5102,0,18,18,0,
7898909445182,18 LIXA PE COM RALO,68053090,,5102,0,18,18,0,
7898909445205,20 KIT 6 LIXAS UNHA,68053090,,5102,0,18,18,0,
7890875239321,25122=SAND IPANEMA ANATOMICA SURF MASCULINO,64022000,,5102,0,18,18,0,
7892938000275,27-UTIMIL PENTE FINO P/PIOLHO,96151100,20.061.00,5405,60,18,0,0,
7896523223223,2753 CREME ASSADURAS NEOKIDS 40G CARTCHO,33049990,20.015.00,5405,60,25,0,0,202
7896005801529,3 CORACOES EXTRA FORT,9012100,17.096.00,5405,60,18,0,61.11,123
7892938000312,31-UTIMIL LIXA PARA UNHA C/4 UNID,68053090,,5102,0,18,18,0,
7892938000367,36-UTIMIL CORTADOR P/UNHA,82142000,20.055.00,5405,60,18,0,0,
7892938000381,38-UTIMIL PINCA DEPILADORA,82032090,20.053.00,5405,60,18,0,0,
7892938004211,421-UTIMIL ABACD.5/8X3/4 ROSCA S/F CART. C/2,73269090,,5102,0,18,18,0,
7892938004204,421-UTIMIL ABACD.5/8X3/4 ROSCA S/F CART. C/2,73269090,,5102,0,18,18,0,
7892938004334,433-UTIMIL PREGO 10X10MM 50UN,73170090,10.057.00,5405,60,12,0,0,
7892938004341,434-UTIMIL PREGO 15X15MM 50UN,73170090,10.057.00,5405,60,12,0,0,
7892938004358,435-UTIMIL PREGO 17X21MM 16UN,73170090,10.057.00,5405,60,12,0,0,
7892938004372,437-UTIMIL BUCHA FIX N5+PAR 3.2X30 5,39269090,10.020.00,5405,60,18,0,0,
7892938004389,438-UTIMIL BUCHA FIXAR N6+PARAFUSO 4.2X40 CJ/,39269090,10.020.00,5405,60,18,0,0,
7892938004396,439-UTIMIL BUCHA FIXAR N8+PARAFUSO 4.8X50 CJ/,39269090,10.020.00,5405,60,18,0,0,
7892938004464,446-UTIMIL CADEADO DE LATAO MACICO 20MM,83011000,,5102,0,18,18,0,
7892938004471,447-UTIMIL CADEADO DE LATAO MACICO 25MM CTEO,83011000,,5102,0,18,18,0,
7892938004488,448-UTIMIL CADEADO DE LATAO MACICO 30MM CTEO,83011000,,5102,0,18,18,0,
7892938004532,453-UTIMIL CHAVE TESTE 135MM,90303990,21.119.00,5405,60,18,0,0,
7892938004686,468-UTIMIL RATOEIRA CHAPA MEDIA,73262000,,5102,0,18,18,0,
7892938004730,473-UTIMIL TRINCHA 3/4 P/PINTURA,96034090,,5102,0,18,18,0,
7892938004754,475-UTIMIL TRINCHA 1.1/2 P/ PINTURA,96034090,,5102,0,18,18,0,
7892938004785,478-UTIMIL PREGO 12X12MM 50UN,73170090,10.057.00,5405,60,12,0,0,
7892938004846,484-UTIMIL BUCHA FIXAR N10+PARAFUSO 5.5X65 CJ,39269090,10.020.00,5405,60,18,0,0,
7892938004884,488-UTIMIL PEDRA PARA AFIAR(CANOA),68043000,08.003.00,5405,60,18,0,0,
7892938005027,502-UTIMIL ROLO DE ESPUMA 5CM C/CABO,96034010,,5102,0,18,18,0,
